id,title,dept,subarea,assignee,market,priority,status,progress,due,note,campaign
"p48fmpe","WA Live Chat — Influencers","whatsapp","WA Live Chat — Influencers","","ALL","Medium","In Progress","0","","",""
"ezhocn1","WA Live Chat — Clients","whatsapp","WA Live Chat — Clients","","ALL","Medium","To Do","0","","",""
"uzdxw8w","SM + Web Chat","whatsapp","SM + Web Chat","","ALL","Medium","To Do","0","","",""
"o7kx1sw","WA Activation","whatsapp","WA Activation","","ALL","Medium","To Do","0","","",""
"ukc3fkn","Onboarding via WA","whatsapp","Onboarding via WA","","ALL","Medium","To Do","0","","",""
"0nifm1z","Complaints — WA","whatsapp","Complaints — WA","","ALL","Medium","To Do","0","","",""
"lmredje","System Messages","whatsapp","System Messages","","ALL","Medium","To Do","0","","",""
"7y84cy9","App Credentials on Reply","whatsapp","App Credentials on Reply","","ALL","Medium","To Do","0","","",""
"wrriat4","Client Escalations","whatsapp","Client Escalations","","ALL","Medium","To Do","0","","",""
"ua2r6ph","Queue Alignment","whatsapp","Queue Alignment","","ALL","Medium","To Do","0","","",""
"kjlrr38","Inbound Audit","quality","Inbound Audit","","ALL","Medium","To Do","0","","",""
"2380jnt","Outbound Audit","quality","Outbound Audit","","ALL","Medium","To Do","0","","",""
"bct6iou","WhatsApp Audit","quality","WhatsApp Audit","","ALL","Medium","To Do","0","","",""
"uww3i0n","All Channels Audit","quality","All Channels Audit","","ALL","Medium","To Do","0","","",""
"n8mesi6","Assess","quality","Assess","","ALL","Medium","To Do","0","","",""
"u9jiks1","Train","quality","Train","","ALL","Medium","To Do","0","","",""
"0xg6tqb","Coach","quality","Coach","","ALL","Medium","To Do","0","","",""
"mhxainu","Daily Reporting","quality","Daily Reporting","","ALL","Medium","To Do","0","","",""
"3yj4ft9","Improvement Actions","quality","Improvement Actions","","ALL","Medium","To Do","0","","",""
"kjvcrfw","Quality Loop","quality","Quality Loop","","ALL","Medium","To Do","0","","",""
"sebtpbo","Inactive List Management","acquisition","Inactive List Management","","ALL","Medium","To Do","0","","",""
"ypb7hdz","Lookalike Targeting","acquisition","Lookalike Targeting","","ALL","Medium","To Do","0","","",""
"uj49y1i","Criteria-based Sourcing","acquisition","Criteria-based Sourcing","","ALL","Medium","To Do","0","","",""
"q20cqc1","New Country Expansion","acquisition","New Country Expansion","","ALL","Medium","To Do","0","","",""
"hasrmoh","50 New Influencers/Day Target","acquisition","50 New Influencers/Day Target","","ALL","Medium","To Do","0","","",""
"90h05vw","LinkedIn Sourcing","acquisition","LinkedIn Sourcing","","ALL","Medium","To Do","0","","",""
"jcmijd2","Social Media Sourcing","acquisition","Social Media Sourcing","","ALL","Medium","To Do","0","","",""
"1h02pic","Referrals Pipeline","acquisition","Referrals Pipeline","","ALL","Medium","To Do","0","","",""
"wk6qoky","Campaign Experience Survey","postcampaign","Campaign Experience Survey","","ALL","Medium","To Do","0","","",""
"bp8uiuo","Platform Feedback","postcampaign","Platform Feedback","","ALL","Medium","To Do","0","","",""
"t0b8msx","Content Rating","postcampaign","Content Rating","","ALL","Medium","To Do","0","","",""
"kdwgrl3","NPS Survey","postcampaign","NPS Survey","","ALL","Medium","To Do","0","","",""
"fgwziwa","Service Satisfaction","postcampaign","Service Satisfaction","","ALL","Medium","To Do","0","","",""
"il3srqc","Delivery Feedback","postcampaign","Delivery Feedback","","ALL","Medium","To Do","0","","",""
"wx4lbjp","Weekly Report","postcampaign","Weekly Report","","ALL","Medium","To Do","0","","",""
"hvlx0n0","Daily Report","postcampaign","Daily Report","","ALL","Medium","To Do","0","","",""
"lq4pav9","Client Update","postcampaign","Client Update","","ALL","Medium","To Do","0","","",""
"r6mmkix","Lifecycle & Retention","postcampaign","Lifecycle & Retention","","ALL","Medium","To Do","0","","",""
"g26fozk","Referrals — Post Campaign","postcampaign","Referrals — Post Campaign","","ALL","Medium","To Do","0","","",""
"sbcile0","Complaints — Post Campaign","postcampaign","Complaints — Post Campaign","","ALL","Medium","To Do","0","","",""
"3st8o0f","Missing Coverage Resolution","coordination","Missing Coverage Resolution","","ALL","Medium","To Do","0","","",""
"cci30r1","Missing Visits Follow-up","coordination","Missing Visits Follow-up","","ALL","Medium","To Do","0","","",""
"fv83icg","Campaign Coordination","coordination","Campaign Coordination","","ALL","Medium","To Do","0","","",""
"7lybm3x","Internal Office Coordination","coordination","Internal Office Coordination","","ALL","Medium","To Do","0","","",""
"d6p92wv","Bulk List Management","coordination","Bulk List Management","","ALL","Medium","To Do","0","","",""
"m7tric3","Manual List Management","coordination","Manual List Management","","ALL","Medium","To Do","0","","",""
"u8dyk9o","Daily Meeting Agenda/PMO","coordination","Daily Meeting Agenda/PMO","","ALL","Medium","To Do","0","","",""
"judx84b","Actions & Owners Tracking","coordination","Actions & Owners Tracking","","ALL","Medium","To Do","0","","",""
"6d9fy2o","Queue Alignment","coordination","Queue Alignment","","ALL","Medium","To Do","0","","",""
"09v6zj2","Escalation Handling","coordination","Escalation Handling","","ALL","Medium","To Do","0","","",""
"uxtslai","SM Coverage — All Channels","coverage","SM Coverage — All Channels","","ALL","Medium","To Do","0","","",""
"dwp8hqi","Key Accounts Coverage","coverage","Key Accounts Coverage","","ALL","Medium","To Do","0","","",""
"mf59v4p","Email Coverage","coverage","Email Coverage","","ALL","Medium","To Do","0","","",""
"a425m8g","Calls Coverage","coverage","Calls Coverage","","ALL","Medium","To Do","0","","",""
"37k0n80","WA Activation Coverage","coverage","WA Activation Coverage","","ALL","Medium","To Do","0","","",""
"8z2nbw6","Onboarding Coverage","coverage","Onboarding Coverage","","ALL","Medium","To Do","0","","",""
"lxjqn2f","Campaign Coverage Map","coverage","Campaign Coverage Map","","ALL","Medium","To Do","0","","",""
"11uayg2","Sourcing Coverage","coverage","Sourcing Coverage","","ALL","Medium","To Do","0","","",""
"vvxjjd4","Daily Coverage Report","coverage","Daily Coverage Report","","ALL","Medium","To Do","0","","",""
"nq8yzyk","Client Onboarding","keyaccounts","Client Onboarding","","ALL","Medium","To Do","0","","",""
"1axojmt","Client Issue Resolution","keyaccounts","Client Issue Resolution","","ALL","Medium","To Do","0","","",""
"45kxnjb","Influencer Issue Resolution","keyaccounts","Influencer Issue Resolution","","ALL","Medium","To Do","0","","",""
"ezk8gf7","Escalation Management","keyaccounts","Escalation Management","","ALL","Medium","To Do","0","","",""
"v5hsu5k","Upselling","keyaccounts","Upselling","","ALL","Medium","To Do","0","","",""
"1yma97z","Lifecycle Management","keyaccounts","Lifecycle Management","","ALL","Medium","To Do","0","","",""
"1jt5ujn","Retention","keyaccounts","Retention","","ALL","Medium","To Do","0","","",""
"b2y3x9f","Referrals — KA","keyaccounts","Referrals — KA","","ALL","Medium","To Do","0","","",""
"qu1jgew","Weekly Client Report","keyaccounts","Weekly Client Report","","ALL","Medium","To Do","0","","",""
"pe9ccbm","Client Update Calls","keyaccounts","Client Update Calls","","ALL","Medium","To Do","0","","",""
"baex9k9","Reactivation — Clients","keyaccounts","Reactivation — Clients","","ALL","Medium","To Do","0","","",""
